Rank ,Puzzles , AMT (s)  ,Solved rate   ,1-sigma Mean (s)   , 1-sigma STD (s)   ,nums
 571, 4  7  9  10 , 7.73, 90.6%, 8.25, 3.7,"[4, 7, 9, 10]"
 572, 2  6  8  10 , 7.74, 93.1%, 8.24, 3.44,"[2, 6, 8, 10]"
 573, 3  3  4  12 , 7.74, 95.1%, 8.39, 3.24,"[3, 3, 4, 12]"
 574, 3  6  12  12 , 7.74, 93.1%, 8.3, 3.52,"[3, 6, 12, 12]"
 575, 1  3  5  11 , 7.76, 93%, 8.07, 2.83,"[1, 3, 5, 11]"
 576, 3  4  4  9 , 7.76, 91%, 8.27, 3.32,"[3, 4, 4, 9]"
 577, 5  6  7  8 , 7.77, 93.7%, 8.26, 3.13,"[5, 6, 7, 8]"
 578, 5  6  10  10 , 7.77, 86.8%, 8.07, 3.81,"[5, 6, 10, 10]"
 579, 1  2  2  5 , 7.78, 94.4%, 8.04, 2.84,"[1, 2, 2, 5]"
 580, 3  3  4  7 , 7.78, 90.4%, 8.28, 3.56,"[3, 3, 4, 7]"
 581, 3  6  6  9 , 7.78, 96.2%, 8.25, 2.97,"[3, 6, 6, 9]"
 582, 6  6  10  12 , 7.78, 93.9%, 8.18, 3.08,"[6, 6, 10, 12]"
 583, 1  2  9  12 , 7.79, 92.5%, 8.37, 3.81,"[1, 2, 9, 12]"
 584, 1  6  9  13 , 7.8, 90.7%, 8.22, 4.02,"[1, 6, 9, 13]"
 585, 4  4  4  5 , 7.8, 85%, 7.84, 3.78,"[4, 4, 4, 5]"
 586, 1  2  4  11 , 7.81, 91.8%, 8.05, 2.81,"[1, 2, 4, 11]"
 587, 1  5  6  10 , 7.81, 91.5%, 8.16, 3.25,"[1, 5, 6, 10]"
 588, 5  6  6  6 , 7.83, 87.6%, 7.97, 3.48,"[5, 6, 6, 6]"
 589, 2  5  5  11 , 7.85, 82.9%, 7.7, 3.41,"[2, 5, 5, 11]"
 590, 3  5  8  11 , 7.85, 89.6%, 8.13, 3.49,"[3, 5, 8, 11]"
 591, 1  4  4  10 , 7.86, 92.1%, 8.08, 3.39,"[1, 4, 4, 10]"
 592, 1  4  8  11 , 7.86, 95.4%, 8.3, 2.88,"[1, 4, 8, 11]"
 593, 3  4  12  13 , 7.86, 93.3%, 8.45, 3.7,"[3, 4, 12, 13]"
 594, 5  6  10  11 , 7.86, 90.3%, 8.19, 3.51,"[5, 6, 10, 11]"
 595, 6  6  7  10 , 7.86, 84.2%, 7.9, 4.08,"[6, 6, 7, 10]"
 596, 6  6  9  12 , 7.86, 91.9%, 8.15, 3.34,"[6, 6, 9, 12]"
 597, 8  11  12  12 , 7.86, 77.7%, 7.29, 3.56,"[8, 11, 12, 12]"
 598, 5  8  8  9 , 7.87, 87.1%, 8.1, 3.91,"[5, 8, 8, 9]"
 599, 1  2  6  9 , 7.88, 94.4%, 8.44, 3.57,"[1, 2, 6, 9]"
 600, 2  2  9  11 , 7.88, 91.6%, 8.19, 3.29,"[2, 2, 9, 11]"
 601, 2  7  7  11 , 7.88, 86.4%, 7.91, 3.68,"[2, 7, 7, 11]"
 602, 2  2  4  8 , 7.89, 95.8%, 8.41, 3.06,"[2, 2, 4, 8]"
 603, 3  6  10  10 , 7.89, 85.5%, 7.87, 3.68,"[3, 6, 10, 10]"
 604, 2  4  6  10 , 7.9, 93.8%, 8.33, 3.37,"[2, 4, 6, 10]"
 605, 3  9  10  10 , 7.9, 84.8%, 7.81, 3.48,"[3, 9, 10, 10]"
 606, 3  12  12  12 , 7.9, 90.9%, 8.22, 3.43,"[3, 12, 12, 12]"
 607, 4  5  10  11 , 7.9, 88.2%, 8.34, 4.2,"[4, 5, 10, 11]"
 608, 1  4  4  9 , 7.92, 94.1%, 8.32, 3.38,"[1, 4, 4, 9]"
 609, 2  2  6  12 , 7.92, 94.2%, 8.52, 3.49,"[2, 2, 6, 12]"
 610, 3  6  7  9 , 7.92, 92.9%, 8.38, 3.5,"[3, 6, 7, 9]"
 611, 10  12  13  13 , 7.92, 94.3%, 8.4, 2.95,"[10, 12, 13, 13]"
 612, 3  3  8  9 , 7.93, 88.7%, 8.3, 3.87,"[3, 3, 8, 9]"
 613, 2  2  3  3 , 7.94, 93.3%, 8.29, 3.24,"[2, 2, 3, 3]"
 614, 4  6  8  9 , 7.94, 93.3%, 8.41, 3.44,"[4, 6, 8, 9]"
 615, 6  7  8  10 , 7.94, 91.6%, 8.46, 3.59,"[6, 7, 8, 10]"
 616, 3  4  5  5 , 7.95, 94%, 8.65, 3.72,"[3, 4, 5, 5]"
 617, 3  4  7  9 , 7.95, 93.2%, 8.41, 3.75,"[3, 4, 7, 9]"
 618, 3  7  12  12 , 7.95, 91.2%, 8.29, 3.45,"[3, 7, 12, 12]"
 619, 4  5  8  9 , 7.95, 89.2%, 8.37, 4.07,"[4, 5, 8, 9]"
 620, 7  8  11  13 , 7.95, 90.3%, 8.49, 3.83,"[7, 8, 11, 13]"
 621, 1  4  6  11 , 7.96, 92.4%, 8.27, 3.22,"[1, 4, 6, 11]"
 622, 3  12  12  13 , 7.96, 92.6%, 8.34, 3.28,"[3, 12, 12, 13]"
 623, 4  8  9  10 , 7.96, 88.9%, 8.18, 3.37,"[4, 8, 9, 10]"
 624, 2  3  5  11 , 7.97, 94.9%, 8.5, 3.31,"[2, 3, 5, 11]"
 625, 8  10  13  13 , 7.97, 92.5%, 8.34, 3.33,"[8, 10, 13, 13]"
 626, 2  5  6  13 , 7.98, 91.5%, 8.46, 3.63,"[2, 5, 6, 13]"
 627, 5  8  8  13 , 7.98, 92.6%, 8.38, 3.67,"[5, 8, 8, 13]"
 628, 2  3  3  6 , 7.99, 96.2%, 8.47, 2.94,"[2, 3, 3, 6]"
 629, 1  2  5  9 , 8, 95%, 8.5, 3.11,"[1, 2, 5, 9]"
 630, 3  4  10  12 , 8.01, 92.5%, 8.38, 3.49,"[3, 4, 10, 12]"
 631, 1  3  6  9 , 8.03, 92.9%, 8.56, 3.26,"[1, 3, 6, 9]"
 632, 3  7  10  11 , 8.03, 90.6%, 8.28, 3.36,"[3, 7, 10, 11]"
 633, 3  9  12  13 , 8.03, 89.8%, 8.52, 3.98,"[3, 9, 12, 13]"
 634, 2  3  4  8 , 8.07, 92.6%, 8.79, 4.02,"[2, 3, 4, 8]"
 635, 4  4  6  12 , 8.07, 93.9%, 8.78, 3.83,"[4, 4, 6, 12]"
 636, 10  11  12  13 , 8.07, 95.8%, 8.67, 3.49,"[10, 11, 12, 13]"
 637, 4  10  12  12 , 8.08, 92.1%, 8.52, 3.38,"[4, 10, 12, 12]"
 638, 4  8  8  9 , 8.09, 92.3%, 8.32, 3.07,"[4, 8, 8, 9]"
 639, 2  7  8  11 , 8.1, 94.7%, 8.64, 3.6,"[2, 7, 8, 11]"
 640, 2  8  8  9 , 8.1, 90.4%, 8.41, 3.39,"[2, 8, 8, 9]"
 641, 3  5  8  8 , 8.1, 92.1%, 8.5, 3.83,"[3, 5, 8, 8]"
 642, 4  7  9  12 , 8.1, 94.9%, 8.59, 3.28,"[4, 7, 9, 12]"
 643, 8  10  10  12 , 8.1, 94.3%, 8.58, 3.43,"[8, 10, 10, 12]"
 644, 2  4  8  8 , 8.12, 93.8%, 8.76, 4.1,"[2, 4, 8, 8]"
 645, 2  4  9  13 , 8.12, 93.6%, 8.51, 3.53,"[2, 4, 9, 13]"
 646, 4  5  9  10 , 8.12, 90.7%, 8.48, 3.61,"[4, 5, 9, 10]"
 647, 2  2  3  7 , 8.13, 88.2%, 8.46, 3.8,"[2, 2, 3, 7]"
 648, 1  5  9  10 , 8.14, 93.5%, 8.64, 3.79,"[1, 5, 9, 10]"
 649, 2  7  11  12 , 8.14, 91.6%, 8.52, 3.46,"[2, 7, 11, 12]"
 650, 2  8  9  13 , 8.14, 90.2%, 8.42, 3.61,"[2, 8, 9, 13]"
 651, 3  7  8  12 , 8.14, 95.1%, 8.66, 3.25,"[3, 7, 8, 12]"
 652, 2  5  6  7 , 8.15, 92.5%, 8.61, 3.68,"[2, 5, 6, 7]"
 653, 3  4  9  11 , 8.15, 89.8%, 8.42, 4.02,"[3, 4, 9, 11]"
 654, 1  1  7  10 , 8.16, 85.1%, 8.24, 4.3,"[1, 1, 7, 10]"
 655, 1  4  9  11 , 8.16, 94.3%, 8.79, 3.69,"[1, 4, 9, 11]"
 656, 1  4  5  11 , 8.17, 90.7%, 8.46, 3.92,"[1, 4, 5, 11]"
 657, 3  5  6  6 , 8.17, 92.1%, 8.69, 3.63,"[3, 5, 6, 6]"
 658, 2  7  9  10 , 8.18, 93.9%, 8.55, 3.2,"[2, 7, 9, 10]"
 659, 2  8  9  10 , 8.18, 88.8%, 8.39, 3.82,"[2, 8, 9, 10]"
 660, 3  6  9  10 , 8.18, 92.4%, 8.53, 3.6,"[3, 6, 9, 10]"
 661, 4  6  8  12 , 8.18, 94.2%, 8.8, 3.49,"[4, 6, 8, 12]"
 662, 2  4  8  12 , 8.19, 93.9%, 8.91, 4.2,"[2, 4, 8, 12]"
 663, 1  3  6  13 , 8.2, 91.9%, 8.43, 3.17,"[1, 3, 6, 13]"
 664, 1  3  4  13 , 8.21, 94.2%, 8.77, 3.66,"[1, 3, 4, 13]"
 665, 1  8  11  13 , 8.21, 88.3%, 8.31, 3.55,"[1, 8, 11, 13]"
 666, 5  5  8  9 , 8.22, 89.6%, 8.67, 3.9,"[5, 5, 8, 9]"
 667, 9  10  12  13 , 8.22, 93.6%, 8.81, 3.61,"[9, 10, 12, 13]"
 668, 2  4  8  11 , 8.24, 92.7%, 8.55, 3.65,"[2, 4, 8, 11]"
 669, 1  5  5  13 , 8.25, 93.2%, 8.43, 3.24,"[1, 5, 5, 13]"
 670, 2  2  4  11 , 8.25, 91.6%, 8.64, 3.69,"[2, 2, 4, 11]"
 671, 6  8  8  10 , 8.26, 91.1%, 8.72, 4.04,"[6, 8, 8, 10]"
 672, 4  4  10  12 , 8.27, 90.6%, 8.62, 3.97,"[4, 4, 10, 12]"
 673, 1  6  11  12 , 8.29, 88.7%, 8.27, 2.97,"[1, 6, 11, 12]"
 674, 2  2  6  10 , 8.29, 95.2%, 8.72, 3.06,"[2, 2, 6, 10]"
 675, 5  8  9  11 , 8.29, 89.9%, 8.55, 3.7,"[5, 8, 9, 11]"
 676, 5  5  8  8 , 8.31, 84.7%, 8.47, 3.94,"[5, 5, 8, 8]"
 677, 5  6  9  10 , 8.31, 90.8%, 8.82, 3.82,"[5, 6, 9, 10]"
 678, 5  8  11  13 , 8.31, 88.6%, 8.41, 3.41,"[5, 8, 11, 13]"
 679, 1  3  4  9 , 8.33, 94.5%, 8.8, 3.78,"[1, 3, 4, 9]"
 680, 6  6  7  9 , 8.33, 90.8%, 8.7, 3.73,"[6, 6, 7, 9]"
 681, 2  5  10  11 , 8.34, 94.2%, 8.94, 3.56,"[2, 5, 10, 11]"
 682, 2  8  8  11 , 8.34, 84%, 8.07, 3.45,"[2, 8, 8, 11]"
 683, 1  2  8  9 , 8.35, 93.3%, 8.93, 3.47,"[1, 2, 8, 9]"
 684, 3  4  5  10 , 8.35, 90.4%, 8.71, 4.01,"[3, 4, 5, 10]"
 685, 1  3  12  12 , 8.36, 85.6%, 8.64, 4.8,"[1, 3, 12, 12]"
 686, 2  4  4  4 , 8.36, 94.6%, 8.81, 3.21,"[2, 4, 4, 4]"
 687, 3  4  7  10 , 8.37, 93.4%, 8.65, 3.49,"[3, 4, 7, 10]"
 688, 4  4  8  11 , 8.38, 86.8%, 8.38, 3.72,"[4, 4, 8, 11]"
 689, 3  6  8  9 , 8.41, 93.9%, 8.83, 3.19,"[3, 6, 8, 9]"
 690, 1  2  2  7 , 8.42, 91.6%, 8.76, 3.37,"[1, 2, 2, 7]"
 691, 2  9  10  11 , 8.42, 88.8%, 8.35, 3.31,"[2, 9, 10, 11]"
 692, 6  8  10  13 , 8.42, 86.7%, 8.49, 3.69,"[6, 8, 10, 13]"
 693, 4  7  8  9 , 8.44, 92.1%, 8.83, 3.73,"[4, 7, 8, 9]"
 694, 1  4  9  10 , 8.45, 93.4%, 8.92, 3.7,"[1, 4, 9, 10]"
 695, 2  3  3  7 , 8.45, 92.1%, 8.9, 3.71,"[2, 3, 3, 7]"
 696, 4  4  7  12 , 8.45, 89.3%, 8.82, 4.14,"[4, 4, 7, 12]"
 697, 1  2  6  13 , 8.46, 90.7%, 8.93, 3.94,"[1, 2, 6, 13]"
 698, 1  6  10  13 , 8.47, 87.8%, 8.68, 4.08,"[1, 6, 10, 13]"
 699, 5  6  10  13 , 8.47, 91.3%, 9.13, 4.24,"[5, 6, 10, 13]"
 700, 1  6  12  13 , 8.48, 89.3%, 8.53, 3.29,"[1, 6, 12, 13]"
 701, 3  3  7  11 , 8.48, 92.1%, 8.78, 3.57,"[3, 3, 7, 11]"
 702, 6  6  8  9 , 8.48, 90.4%, 8.76, 3.5,"[6, 6, 8, 9]"
 703, 2  9  12  13 , 8.49, 90.6%, 8.87, 3.86,"[2, 9, 12, 13]"
 704, 3  3  8  12 , 8.49, 91.5%, 9.03, 3.91,"[3, 3, 8, 12]"
 705, 4  4  4  9 , 8.49, 88.3%, 8.51, 4,"[4, 4, 4, 9]"
 706, 4  4  6  11 , 8.49, 86.5%, 8.57, 4.41,"[4, 4, 6, 11]"
 707, 2  4  7  10 , 8.51, 91.2%, 8.76, 3.84,"[2, 4, 7, 10]"
 708, 3  11  12  12 , 8.51, 90.9%, 8.78, 3.3,"[3, 11, 12, 12]"
 709, 6  8  8  11 , 8.51, 87.7%, 8.7, 3.91,"[6, 8, 8, 11]"
 710, 2  4  6  6 , 8.52, 94.2%, 9.28, 3.97,"[2, 4, 6, 6]"
 711, 6  6  9  11 , 8.52, 88.8%, 8.94, 4.07,"[6, 6, 9, 11]"
 712, 5  7  8  8 , 8.54, 82.8%, 8.49, 4.69,"[5, 7, 8, 8]"
 713, 1  2  7  8 , 8.55, 94.4%, 9.08, 3.56,"[1, 2, 7, 8]"
 714, 1  3  4  10 , 8.55, 92.9%, 8.82, 3.38,"[1, 3, 4, 10]"
 715, 1  11  13  13 , 8.55, 91.4%, 8.91, 3.78,"[1, 11, 13, 13]"
 716, 2  9  10  13 , 8.55, 90.2%, 9.15, 4.09,"[2, 9, 10, 13]"
 717, 2  2  3  13 , 8.56, 87.5%, 8.58, 3.62,"[2, 2, 3, 13]"
 718, 2  10  11  13 , 8.56, 89.5%, 8.61, 3.44,"[2, 10, 11, 13]"
 719, 3  6  7  12 , 8.56, 89.9%, 8.84, 3.77,"[3, 6, 7, 12]"
 720, 1  2  3  3 , 8.57, 95.7%, 8.92, 2.97,"[1, 2, 3, 3]"
 721, 2  3  10  13 , 8.57, 93.5%, 9.07, 3.95,"[2, 3, 10, 13]"
 722, 1  2  3  11 , 8.6, 95.8%, 9.02, 3.4,"[1, 2, 3, 11]"
 723, 2  6  6  10 , 8.6, 94.1%, 9.05, 3.63,"[2, 6, 6, 10]"
 724, 2  8  11  12 , 8.61, 88.2%, 8.83, 4.17,"[2, 8, 11, 12]"
 725, 3  7  7  13 , 8.61, 93.6%, 8.89, 3.16,"[3, 7, 7, 13]"
 726, 4  5  6  7 , 8.61, 90.2%, 9.01, 3.84,"[4, 5, 6, 7]"
 727, 4  5  8  12 , 8.61, 93.4%, 9.12, 3.71,"[4, 5, 8, 12]"
 728, 2  2  4  13 , 8.62, 91.2%, 9.13, 4.15,"[2, 2, 4, 13]"
 729, 2  4  7  11 , 8.62, 92.6%, 8.99, 3.8,"[2, 4, 7, 11]"
 730, 1  2  5  13 , 8.63, 94.3%, 9.19, 3.68,"[1, 2, 5, 13]"
 731, 1  2  9  13 , 8.64, 93.4%, 9.26, 4.15,"[1, 2, 9, 13]"
 732, 7  8  8  11 , 8.64, 80.7%, 8.26, 4.55,"[7, 8, 8, 11]"
 733, 4  4  4  11 , 8.65, 86.2%, 8.84, 4.63,"[4, 4, 4, 11]"
 734, 4  4  9  11 , 8.65, 82.3%, 8.33, 4.42,"[4, 4, 9, 11]"
 735, 1  4  6  7 , 8.66, 87.2%, 8.92, 4.61,"[1, 4, 6, 7]"
 736, 2  4  6  9 , 8.66, 91.8%, 9.11, 4.17,"[2, 4, 6, 9]"
 737, 2  4  9  9 , 8.66, 90.1%, 8.79, 3.83,"[2, 4, 9, 9]"
 738, 2  6  7  8 , 8.66, 89.7%, 9.05, 3.93,"[2, 6, 7, 8]"
 739, 4  6  10  12 , 8.67, 93.8%, 9.24, 3.96,"[4, 6, 10, 12]"
 740, 2  2  8  10 , 8.68, 94.4%, 9.28, 3.26,"[2, 2, 8, 10]"
 741, 6  8  9  13 , 8.7, 93.9%, 9.36, 3.96,"[6, 8, 9, 13]"
 742, 1  3  9  13 , 8.71, 93.8%, 9.32, 4.14,"[1, 3, 9, 13]"
 743, 1  3  4  7 , 8.72, 95.1%, 9.52, 3.85,"[1, 3, 4, 7]"
 744, 2  4  10  13 , 8.72, 88.9%, 9.09, 4.42,"[2, 4, 10, 13]"
 745, 2  9  11  11 , 8.72, 89.3%, 9.11, 4.02,"[2, 9, 11, 11]"
 746, 4  8  9  11 , 8.74, 93%, 9.25, 3.94,"[4, 8, 9, 11]"
 747, 2  3  7  11 , 8.75, 92%, 9.15, 4.21,"[2, 3, 7, 11]"
 748, 6  6  8  11 , 8.75, 82.8%, 8.49, 4.47,"[6, 6, 8, 11]"
 749, 2  8  9  11 , 8.76, 90.6%, 9.15, 3.81,"[2, 8, 9, 11]"
 750, 3  4  7  7 , 8.76, 94.1%, 9.45, 3.81,"[3, 4, 7, 7]"
 751, 6  6  8  10 , 8.76, 90.2%, 9.04, 4.06,"[6, 6, 8, 10]"
 752, 3  9  9  10 , 8.77, 86.6%, 8.79, 3.8,"[3, 9, 9, 10]"
 753, 5  5  9  10 , 8.77, 86.8%, 9.11, 4.34,"[5, 5, 9, 10]"
 754, 2  5  7  10 , 8.79, 92.1%, 9.21, 3.74,"[2, 5, 7, 10]"
 755, 4  5  9  13 , 8.79, 89.3%, 9.43, 4.82,"[4, 5, 9, 13]"
 756, 2  3  5  9 , 8.8, 92.2%, 9.34, 4.32,"[2, 3, 5, 9]"
 757, 4  5  8  8 , 8.8, 86.4%, 8.8, 4.05,"[4, 5, 8, 8]"
 758, 9  10  11  13 , 8.8, 89.8%, 9.08, 3.79,"[9, 10, 11, 13]"
 759, 1  2  6  11 , 8.81, 90.1%, 9.29, 4.31,"[1, 2, 6, 11]"
 760, 1  3  8  8 , 8.82, 86.7%, 9.07, 4.56,"[1, 3, 8, 8]"
 761, 4  11  12  13 , 8.82, 91.3%, 9.24, 3.87,"[4, 11, 12, 13]"
 762, 4  4  8  10 , 8.84, 91.4%, 9.16, 4.34,"[4, 4, 8, 10]"
 763, 3  10  11  12 , 8.85, 89.4%, 9.04, 3.71,"[3, 10, 11, 12]"
 764, 6  8  12  12 , 8.86, 91.5%, 9.57, 4.29,"[6, 8, 12, 12]"
 765, 3  7  10  13 , 8.88, 88.4%, 9.33, 4.69,"[3, 7, 10, 13]"
 766, 4  8  8  12 , 8.88, 94.6%, 9.47, 3.92,"[4, 8, 8, 12]"
 767, 3  5  9  12 , 8.9, 89.9%, 9.17, 4,"[3, 5, 9, 12]"
 768, 1  2  4  5 , 8.91, 90.6%, 9.33, 4.21,"[1, 2, 4, 5]"
 769, 4  12  12  12 , 8.91, 86.1%, 9.23, 4.75,"[4, 12, 12, 12]"
 770, 5  6  6  10 , 8.91, 89%, 9.12, 3.85,"[5, 6, 6, 10]"
 771, 7  8  10  13 , 8.91, 92.2%, 9.44, 4.1,"[7, 8, 10, 13]"
 772, 2  3  4  13 , 8.92, 91%, 9.26, 3.93,"[2, 3, 4, 13]"
 773, 3  4  4  5 , 8.92, 91.1%, 9.24, 4,"[3, 4, 4, 5]"
 774, 1  1  3  10 , 8.93, 88.3%, 8.94, 3.87,"[1, 1, 3, 10]"
 775, 1  4  5  10 , 8.93, 91.2%, 9.06, 3.62,"[1, 4, 5, 10]"
 776, 1  4  6  9 , 8.93, 86.1%, 8.81, 4,"[1, 4, 6, 9]"
 777, 1  5  5  9 , 8.93, 88.5%, 9.08, 3.7,"[1, 5, 5, 9]"
 778, 3  5  6  9 , 8.93, 92.6%, 9.36, 3.68,"[3, 5, 6, 9]"
 779, 4  4  8  13 , 8.93, 86.8%, 8.88, 4.24,"[4, 4, 8, 13]"
 780, 2  2  5  6 , 8.95, 88.7%, 9.27, 4.45,"[2, 2, 5, 6]"
 781, 2  5  8  13 , 8.96, 92.9%, 9.46, 3.91,"[2, 5, 8, 13]"
 782, 1  3  5  10 , 8.97, 93.3%, 9.46, 3.7,"[1, 3, 5, 10]"
 783, 1  3  3  10 , 8.98, 89.8%, 9.08, 4.1,"[1, 3, 3, 10]"
 784, 1  2  4  9 , 8.99, 90.7%, 9.32, 3.91,"[1, 2, 4, 9]"
 785, 2  2  3  6 , 9, 91.7%, 9.32, 4.03,"[2, 2, 3, 6]"
 786, 2  11  12  13 , 9, 89.7%, 9.4, 4,"[2, 11, 12, 13]"
 787, 2  2  5  7 , 9.01, 89%, 9.08, 3.68,"[2, 2, 5, 7]"
 788, 4  5  5  9 , 9.01, 91.3%, 9.33, 3.87,"[4, 5, 5, 9]"
 789, 3  6  12  13 , 9.02, 86.4%, 8.97, 4.33,"[3, 6, 12, 13]"
 790, 2  3  9  9 , 9.03, 90.6%, 9.42, 4,"[2, 3, 9, 9]"
 791, 3  5  6  7 , 9.03, 89.5%, 9.06, 3.81,"[3, 5, 6, 7]"
 792, 3  9  10  12 , 9.03, 90.4%, 9.25, 3.67,"[3, 9, 10, 12]"
 793, 5  5  6  7 , 9.06, 90.9%, 9.51, 4.1,"[5, 5, 6, 7]"
 794, 6  6  6  12 , 9.08, 89.5%, 9.3, 4.54,"[6, 6, 6, 12]"
 795, 4  7  10  10 , 9.09, 83.8%, 8.83, 4.15,"[4, 7, 10, 10]"
 796, 6  6  8  13 , 9.09, 83.3%, 8.81, 4.32,"[6, 6, 8, 13]"
 797, 6  8  11  13 , 9.1, 86.2%, 9.42, 4.48,"[6, 8, 11, 13]"
 798, 8  8  9  13 , 9.1, 81.2%, 8.67, 4.71,"[8, 8, 9, 13]"
 799, 1  5  9  11 , 9.11, 93.1%, 9.57, 3.93,"[1, 5, 9, 11]"
 800, 1  5  6  8 , 9.12, 90.2%, 9.2, 3.89,"[1, 5, 6, 8]"
 801, 2  10  11  11 , 9.13, 86.2%, 9.08, 3.94,"[2, 10, 11, 11]"
 802, 5  10  10  12 , 9.13, 87%, 9.11, 3.59,"[5, 10, 10, 12]"
 803, 2  3  6  10 , 9.14, 92.3%, 9.38, 3.77,"[2, 3, 6, 10]"
 804, 2  2  3  11 , 9.15, 86.1%, 9.17, 4.17,"[2, 2, 3, 11]"
 805, 3  4  7  11 , 9.15, 87.3%, 9.17, 4.64,"[3, 4, 7, 11]"
 806, 4  4  5  10 , 9.15, 86.1%, 9.2, 4.74,"[4, 4, 5, 10]"
 807, 2  2  5  11 , 9.16, 87.5%, 9.47, 4.41,"[2, 2, 5, 11]"
 808, 2  5  8  9 , 9.18, 92.6%, 9.46, 3.71,"[2, 5, 8, 9]"
 809, 1  3  5  7 , 9.2, 89.9%, 9.46, 4.1,"[1, 3, 5, 7]"
 810, 1  5  10  13 , 9.2, 88.6%, 9.22, 3.46,"[1, 5, 10, 13]"
 811, 2  3  4  11 , 9.2, 88.3%, 9.36, 4.16,"[2, 3, 4, 11]"
 812, 3  5  5  9 , 9.2, 83.4%, 8.89, 4.02,"[3, 5, 5, 9]"
 813, 2  8  8  10 , 9.22, 92.8%, 9.45, 3.77,"[2, 8, 8, 10]"
 814, 5  7  8  9 , 9.23, 88.9%, 9.53, 4.21,"[5, 7, 8, 9]"
 815, 3  7  8  9 , 9.24, 87%, 9.25, 3.89,"[3, 7, 8, 9]"
 816, 8  8  8  13 , 9.24, 84.7%, 9.22, 4.31,"[8, 8, 8, 13]"
 817, 4  7  7  11 , 9.25, 87.6%, 9.55, 4.54,"[4, 7, 7, 11]"
 818, 2  3  8  12 , 9.26, 93.1%, 9.75, 3.79,"[2, 3, 8, 12]"
 819, 3  3  6  11 , 9.26, 90.3%, 9.69, 4.44,"[3, 3, 6, 11]"
 820, 7  12  12  13 , 9.27, 82.6%, 9, 4.2,"[7, 12, 12, 13]"
 821, 4  5  10  13 , 9.28, 91.1%, 9.73, 4.39,"[4, 5, 10, 13]"
 822, 5  6  7  12 , 9.29, 84.6%, 9.23, 4.34,"[5, 6, 7, 12]"
 823, 3  4  6  12 , 9.3, 93.4%, 9.85, 3.97,"[3, 4, 6, 12]"
 824, 1  1  4  10 , 9.32, 85.3%, 9.21, 5.03,"[1, 1, 4, 10]"
 825, 2  2  6  8 , 9.32, 95.5%, 9.76, 3.59,"[2, 2, 6, 8]"
 826, 2  3  4  4 , 9.32, 94.2%, 9.73, 3.6,"[2, 3, 4, 4]"
 827, 1  2  7  9 , 9.34, 93.3%, 9.8, 3.84,"[1, 2, 7, 9]"
 828, 2  3  3  9 , 9.36, 93.2%, 9.8, 3.83,"[2, 3, 3, 9]"
 829, 3  9  11  12 , 9.37, 90.2%, 9.83, 4.4,"[3, 9, 11, 12]"
 830, 1  9  11  13 , 9.38, 87.9%, 9.56, 4.09,"[1, 9, 11, 13]"
 831, 5  8  9  12 , 9.4, 92.3%, 9.84, 3.99,"[5, 8, 9, 12]"
 832, 5  11  12  12 , 9.4, 82.6%, 9.02, 4.17,"[5, 11, 12, 12]"
 833, 3  7  7  10 , 9.41, 89.2%, 9.68, 4.3,"[3, 7, 7, 10]"
 834, 4  5  7  12 , 9.41, 87.6%, 9.33, 3.91,"[4, 5, 7, 12]"
 835, 3  3  3  9 , 9.42, 84.2%, 9.41, 4.82,"[3, 3, 3, 9]"
 836, 3  4  5  9 , 9.43, 85.1%, 9.27, 4.5,"[3, 4, 5, 9]"
 837, 3  3  4  9 , 9.44, 92.2%, 9.76, 3.82,"[3, 3, 4, 9]"
 838, 2  4  4  7 , 9.45, 89.5%, 9.62, 4.32,"[2, 4, 4, 7]"
 839, 4  5  5  7 , 9.45, 82.6%, 9.11, 4.26,"[4, 5, 5, 7]"
 840, 5  9  9  11 , 9.47, 89.4%, 9.73, 3.9,"[5, 9, 9, 11]"
 841, 3  8  9  12 , 9.49, 90%, 9.91, 4.43,"[3, 8, 9, 12]"
 842, 3  4  6  10 , 9.52, 89.9%, 10, 4.78,"[3, 4, 6, 10]"
 843, 6  6  6  8 , 9.52, 91.3%, 9.85, 4.26,"[6, 6, 6, 8]"
 844, 1  6  9  10 , 9.53, 91.9%, 9.78, 3.77,"[1, 6, 9, 10]"
 845, 2  5  6  10 , 9.53, 88%, 9.58, 4.48,"[2, 5, 6, 10]"
 846, 2  7  9  13 , 9.54, 87.3%, 9.83, 4.85,"[2, 7, 9, 13]"
 847, 2  6  8  8 , 9.55, 92.6%, 9.92, 4.09,"[2, 6, 8, 8]"
 848, 2  3  6  11 , 9.56, 90.3%, 9.92, 4.44,"[2, 3, 6, 11]"
 849, 4  7  11  12 , 9.57, 86.3%, 9.73, 4.77,"[4, 7, 11, 12]"
 850, 4  7  8  13 , 9.58, 90.8%, 10.07, 4.38,"[4, 7, 8, 13]"
 851, 2  3  8  11 , 9.59, 92.6%, 10.17, 4.07,"[2, 3, 8, 11]"
 852, 5  6  8  9 , 9.6, 90%, 9.88, 4.37,"[5, 6, 8, 9]"
 853, 2  4  5  9 , 9.61, 86.4%, 9.65, 4.67,"[2, 4, 5, 9]"
 854, 3  3  5  9 , 9.61, 87.1%, 9.59, 3.97,"[3, 3, 5, 9]"
 855, 4  5  7  11 , 9.61, 87.3%, 9.81, 4.95,"[4, 5, 7, 11]"
